coord_lon,coord_lat,weather[0]_id,weather[0]_main,weather[0]_description,weather[0]_icon,base,main_temp,main_feels_like,main_temp_min,main_temp_max,main_pressure,main_humidity,main_sea_level,main_grnd_level,visibility,wind_speed,wind_deg,clouds_all,dt,sys_type,sys_id,sys_country,sys_sunrise,sys_sunset,timezone,id,name,cod,wind_gust
77.6033,12.9762,721,Haze,haze,50d,stations,298.32,298.69,297.95,299.46,1011,69,1011,914,5000,2.57,90,40,2024-12-14 14:00:56+05:30,1.0,9205.0,IN,2024-12-14 06:33:21+05:30,2024-12-14 17:55:24+05:30,19800,1277333,Bengaluru,200,
72.8479,19.0144,711,Smoke,smoke,50d,stations,304.14,302.48,304.14,305.09,1011,25,1011,1010,3000,3.09,70,20,2024-12-14 14:00:29+05:30,1.0,9052.0,IN,2024-12-14 07:03:34+05:30,2024-12-14 18:03:15+05:30,19800,1275339,Mumbai,200,
78.4744,17.3753,721,Haze,haze,50d,stations,301.38,300.52,300.88,301.38,1013,32,1013,949,4000,3.6,40,40,2024-12-14 14:06:56+05:30,1.0,9214.0,IN,2024-12-14 06:37:56+05:30,2024-12-14 17:43:51+05:30,19800,1269843,Hyderabad,200,
77.2167,28.6667,721,Haze,haze,50d,stations,294.2,292.99,294.2,294.2,1016,24,1016,990,4400,4.63,280,0,2024-12-14 14:00:18+05:30,1.0,9165.0,IN,2024-12-14 07:05:58+05:30,2024-12-14 17:25:53+05:30,19800,1273294,Delhi,200,
72.0,23.0,800,Clear,clear sky,01d,stations,300.73,299.46,300.73,300.73,1014,12,1014,1012,10000,5.5,81,0,2024-12-14 14:08:06+05:30,,,IN,2024-12-14 07:14:48+05:30,2024-12-14 17:58:49+05:30,19800,1270770,Gujarat,200,5.87
74.8833,12.8667,721,Haze,haze,50d,stations,305.63,307.19,305.63,305.63,1008,45,1008,1004,5000,2.57,100,20,2024-12-14 14:08:07+05:30,1.0,9217.0,IN,2024-12-14 06:44:02+05:30,2024-12-14 18:06:29+05:30,19800,1263780,Mangalore,200,
93.0,26.0,800,Clear,clear sky,01d,stations,296.19,296.04,296.19,296.19,1013,57,1013,1002,10000,0.88,243,0,2024-12-14 14:05:52+05:30,,,IN,2024-12-14 05:56:59+05:30,2024-12-14 16:28:34+05:30,19800,1278253,Assam,200,0.75
74.8167,34.0833,804,Clouds,overcast clouds,04d,stations,280.84,280.25,280.84,280.84,1025,15,1025,835,10000,1.43,258,94,2024-12-14 14:03:59+05:30,,,IN,2024-12-14 07:28:30+05:30,2024-12-14 17:22:34+05:30,19800,1255634,Srinagar,200,0.95
77.6033,12.9762,721,Haze,haze,50d,stations,298.58,298.98,298.05,298.95,1011,69,1011,914,5000,3.6,60,40,2024-12-14 14:11:11+05:30,1.0,9205.0,IN,2024-12-14 06:33:21+05:30,2024-12-14 17:55:24+05:30,19800,1277333,Bengaluru,200,
72.8479,19.0144,711,Smoke,smoke,50d,stations,304.14,302.48,304.14,305.09,1011,25,1011,1010,3000,3.09,70,20,2024-12-14 14:00:29+05:30,1.0,9052.0,IN,2024-12-14 07:03:34+05:30,2024-12-14 18:03:15+05:30,19800,1275339,Mumbai,200,
78.4744,17.3753,721,Haze,haze,50d,stations,301.38,300.52,300.88,301.38,1013,32,1013,949,4000,3.6,40,40,2024-12-14 14:06:56+05:30,1.0,9214.0,IN,2024-12-14 06:37:56+05:30,2024-12-14 17:43:51+05:30,19800,1269843,Hyderabad,200,
77.2167,28.6667,721,Haze,haze,50d,stations,294.2,292.99,294.2,294.2,1016,24,1016,990,4400,4.63,280,0,2024-12-14 14:00:18+05:30,1.0,9165.0,IN,2024-12-14 07:05:58+05:30,2024-12-14 17:25:53+05:30,19800,1273294,Delhi,200,
72.0,23.0,800,Clear,clear sky,01d,stations,300.73,299.46,300.73,300.73,1014,12,1014,1012,10000,5.5,81,0,2024-12-14 14:08:06+05:30,,,IN,2024-12-14 07:14:48+05:30,2024-12-14 17:58:49+05:30,19800,1270770,Gujarat,200,5.87
74.8833,12.8667,721,Haze,haze,50d,stations,305.63,307.19,305.63,305.63,1008,45,1008,1004,5000,2.57,100,20,2024-12-14 14:08:07+05:30,1.0,9217.0,IN,2024-12-14 06:44:02+05:30,2024-12-14 18:06:29+05:30,19800,1263780,Mangalore,200,
93.0,26.0,800,Clear,clear sky,01d,stations,296.19,296.04,296.19,296.19,1013,57,1013,1002,10000,0.88,243,0,2024-12-14 14:05:52+05:30,,,IN,2024-12-14 05:56:59+05:30,2024-12-14 16:28:34+05:30,19800,1278253,Assam,200,0.75
74.8167,34.0833,804,Clouds,overcast clouds,04d,stations,280.84,280.25,280.84,280.84,1025,15,1025,835,10000,1.43,258,94,2024-12-14 14:03:59+05:30,,,IN,2024-12-14 07:28:30+05:30,2024-12-14 17:22:34+05:30,19800,1255634,Srinagar,200,0.95
77.6033,12.9762,721,Haze,haze,50d,stations,298.73,299.17,298.43,299.05,1011,70,1011,914,5000,2.57,50,40,2024-12-14 14:52:35+05:30,1.0,9205.0,IN,2024-12-14 06:33:21+05:30,2024-12-14 17:55:24+05:30,19800,1277333,Bengaluru,200,
72.8479,19.0144,711,Smoke,smoke,50d,stations,304.14,302.48,304.14,305.09,1011,25,1011,1010,3500,3.09,110,20,2024-12-14 14:56:08+05:30,1.0,9052.0,IN,2024-12-14 07:03:34+05:30,2024-12-14 18:03:15+05:30,19800,1275339,Mumbai,200,
78.4744,17.3753,721,Haze,haze,50d,stations,301.38,300.52,301.38,301.88,1013,32,1013,949,4000,3.6,60,40,2024-12-14 14:55:49+05:30,1.0,9214.0,IN,2024-12-14 06:37:56+05:30,2024-12-14 17:43:51+05:30,19800,1269843,Hyderabad,200,
